"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 11- 25","1,755.00","1,755.35","1,761.10","1,746.05","","-0.02%"
"2022- 11- 24","1,755.35","1,753.05","1,758.95","1,752.55","","0.56%"
"2022- 11- 23","1,745.60","1,740.80","1,754.90","1,719.00","167.77K","0.33%"
"2022- 11- 22","1,739.90","1,739.70","1,751.00","1,737.60","153.09K","0.02%"
"2022- 11- 21","1,739.60","1,752.00","1,755.00","1,733.90","166.08K","-0.84%"
"2022- 11- 20","1,754.40","1,752.80","1,754.75","1,751.85","","0.00%"
"2022- 11- 18","1,754.40","1,763.10","1,769.90","1,749.20","137.33K","-0.49%"
"2022- 11- 17","1,763.00","1,777.00","1,777.60","1,756.60","169.10K","-0.72%"
"2022- 11- 16","1,775.80","1,782.00","1,788.20","1,773.40","200.76K","-0.06%"
"2022- 11- 15","1,776.80","1,774.00","1,791.80","1,770.20","283.02K","-0.01%"
"2022- 11- 14","1,776.90","1,769.40","1,778.40","1,755.80","191.35K","0.42%"
"2022- 11- 11","1,769.40","1,758.30","1,775.60","1,750.30","227.04K","0.90%"
"2022- 11- 10","1,753.70","1,709.70","1,760.60","1,705.50","305.72K","2.33%"
"2022- 11- 09","1,713.70","1,715.20","1,725.80","1,705.10","239.65K","-0.13%"
"2022- 11- 08","1,716.00","1,678.00","1,720.40","1,667.10","297.62K","2.11%"
"2022- 11- 07","1,680.50","1,678.60","1,685.60","1,670.00","187.59K","0.23%"
"2022- 11- 04","1,676.60","1,631.70","1,686.40","1,631.10","293.52K","2.80%"
"2022- 11- 03","1,630.90","1,639.10","1,643.20","1,618.30","254.70K","-1.16%"
"2022- 11- 02","1,650.00","1,651.40","1,673.10","1,637.40","220.93K","0.02%"
"2022- 11- 01","1,649.70","1,636.10","1,660.30","1,633.60","197.98K","0.55%"
"2022- 10- 31","1,640.70","1,647.20","1,648.50","1,634.50","128.41K","-0.25%"
"2022- 10- 28","1,644.80","1,667.20","1,670.90","1,640.70","196.36K","-0.93%"
"2022- 10- 27","1,660.30","1,664.10","1,669.20","1,654.40","2.30K","-0.25%"
"2022- 10- 26","1,664.40","1,652.30","1,674.00","1,652.30","0.32K","0.67%"
"2022- 10- 25","1,653.30","1,649.60","1,660.50","1,637.00","0.59K","0.25%"
"2022- 10- 24","1,649.20","1,662.00","1,666.30","1,643.60","0.15K","-0.14%"
"2022- 10- 21","1,651.50","1,626.10","1,657.20","1,618.10","0.64K","1.21%"
"2022- 10- 20","1,631.80","1,628.90","1,644.30","1,621.20","0.50K","0.17%"
"2022- 10- 19","1,629.00","1,652.40","1,654.00","1,628.00","0.30K","-1.31%"
"2022- 10- 18","1,650.70","1,651.00","1,660.40","1,647.00","0.72K","-0.49%"
"2022- 10- 17","1,658.90","1,646.30","1,667.60","1,645.20","0.60K","0.92%"
"2022- 10- 14","1,643.70","1,665.60","1,672.10","1,640.80","0.64K","-1.99%"
"2022- 10- 13","1,677.00","1,680.20","1,688.90","1,648.30","237.01K","-0.03%"
"2022- 10- 12","1,677.50","1,673.40","1,685.10","1,668.00","131.77K","-0.50%"
"2022- 10- 11","1,686.00","1,675.60","1,691.30","1,667.50","171.81K","0.64%"
"2022- 10- 10","1,675.20","1,703.40","1,707.40","1,672.50","157.15K","-1.99%"
"2022- 10- 07","1,709.30","1,721.00","1,722.80","1,698.40","157.45K","-0.67%"
"2022- 10- 06","1,720.80","1,725.50","1,734.20","1,714.80","139.44K","0.00%"
"2022- 10- 05","1,720.80","1,734.40","1,736.60","1,708.80","173.22K","-0.56%"
"2022- 10- 04","1,730.50","1,708.40","1,738.70","1,704.00","205.08K","1.67%"
"2022- 10- 03","1,702.00","1,670.50","1,710.40","1,666.50","215.49K","1.79%"
"2022- 09- 30","1,672.00","1,669.50","1,684.40","1,667.50","179.99K","0.20%"
"2022- 09- 29","1,668.60","1,669.00","1,673.10","1,649.30","201.96K","0.21%"
"2022- 09- 28","1,665.10","1,631.40","1,666.00","1,618.00","1.90K","2.08%"
"2022- 09- 27","1,631.10","1,626.70","1,643.50","1,626.70","0.83K","0.18%"
"2022- 09- 26","1,628.20","1,643.00","1,651.00","1,623.20","0.64K","-1.32%"
"2022- 09- 23","1,650.00","1,674.60","1,674.60","1,642.70","1.36K","-1.56%"
"2022- 09- 22","1,676.10","1,674.30","1,688.00","1,659.00","0.32K","0.34%"
"2022- 09- 21","1,670.50","1,666.80","1,685.90","1,657.60","0.17K","0.29%"
"2022- 09- 20","1,665.70","1,682.30","1,682.30","1,665.90","0.07K","-0.41%"
"2022- 09- 19","1,672.60","1,680.20","1,680.20","1,663.50","0.18K","-0.32%"
"2022- 09- 16","1,677.90","1,665.60","1,680.00","1,659.10","0.32K","0.39%"
"2022- 09- 15","1,671.40","1,695.00","1,695.00","1,664.80","0.28K","-1.87%"
"2022- 09- 14","1,703.20","1,704.00","1,709.70","1,701.10","0.17K","-0.51%"
"2022- 09- 13","1,712.00","1,733.40","1,733.40","1,703.80","0.22K","-1.36%"
"2022- 09- 12","1,735.60","1,731.00","1,737.30","1,728.00","0.04K","0.70%"
"2022- 09- 09","1,723.60","1,716.00","1,726.40","1,716.00","0.02K","0.48%"
"2022- 09- 08","1,715.30","1,723.40","1,725.50","1,713.50","0.20K","-0.44%"
"2022- 09- 07","1,722.80","1,722.80","1,722.80","1,722.80","173.62K","0.87%"
"2022- 09- 06","1,707.90","1,719.70","1,719.70","1,714.20","0.02K","-0.98%"
"2022- 09- 05","1,724.80","1,719.20","1,726.60","1,718.75","","0.36%"
"2022- 09- 04","1,718.65","1,723.60","1,723.75","1,718.65","","0.06%"
"2022- 09- 02","1,717.70","1,709.60","1,709.60","1,709.60","0.00K","0.78%"
"2022- 09- 01","1,704.40","1,708.00","1,708.00","1,707.00","0.01K","-0.99%"
"2022- 08- 31","1,721.40","1,721.40","1,721.40","1,721.40","176.73K","-0.59%"
"2022- 08- 30","1,731.60","1,731.60","1,731.60","1,731.60","130.66K","-0.51%"
"2022- 08- 29","1,740.50","1,740.10","1,748.60","1,722.50","4.69K","-0.01%"
